!;r;g;b
abh;50;64;99
abw;204;94;40
afg;169;159;74
ago;149;163;191
aia;221;174;217
akrotiri;242;147;75
ala;94;89;156
alb;170;104;41
and;67;185;0
are;190;157;61
arg;160;176;169
arm;143;151;196
asm;187;137;83
ata;171;187;216
atf;27;41;171
atg;206;130;111
athos;127;79;127
au;214;230;138
aus;155;122;38
aut;124;145;152
aze;188;196;143
bdi;146;201;177
bel;117;105;42
ben;199;196;140
bes;154;180;222
bfa;102;93;102
bgd;63;127;71
bgr;99;118;99
bhr;255;211;0
bhs;12;214;78
bih;157;166;182
blm;144;204;204
blr;105;145;94
blz;234;146;103
bmu;45;209;223
bol;147;163;192
bra;107;164;128
brb;91;191;186
brn;152;148;191
btn;153;190;149
bvt;21;65;53
bwa;181;123;57
caf;81;128;84
can;155;112;38
cck;150;224;123
che;168;184;188
chl;179;48;153
chn;141;144;68
civ;99;120;40
cmr;109;166;89
cod;165;180;209
cog;214;212;97
cok;178;202;141
col;81;128;84
com;189;138;244
cpv;136;159;41
cri;134;161;63
cub;207;88;52
cuw;227;221;157
cxr;133;229;202
cym;238;86;118
cyp;134;172;204
cze;83;97;63
d;217;185;123
ddr;149;94;136
dji;26;255;155
dma;164;79;181
dnk;55;78;95
dom;78;101;143
dza;199;180;56
ecu;214;212;97
egy;155;112;38
eng;185;154;157
eri;204;149;0
esh;244;164;96
esp;178;176;172
est;175;167;175
eth;155;141;61
eue;64;72;169
fin;139;165;190
fji;61;87;122
flk;192;79;149
fra;101;154;210
fro;195;195;204
fsm;86;130;3
gab;93;131;147
gba;153;44;34
gbr;155;112;38
geo;174;186;153
ggy;135;139;86
gha;60;144;183
gib;178;84;44
gin;114;133;111
glp;218;85;152
gmb;101;154;210
gnb;116;195;101
gnq;95;50;43
grc;189;173;87
grd;50;104;23
grl;49;222;172
gtm;197;119;220
guf;94;58;166
gum;125;153;204
guy;102;147;90
hkg;222;41;16
hmd;129;194;218
hnd;138;110;228
hrv;106;124;66
hti;101;120;97
hun;57;125;66
idn;180;184;65
imn;100;128;12
ind;190;149;189
iot;145;136;159
irl;99;120;40
irn;164;152;46
irq;99;120;40
isl;153;187;164
isr;212;207;212
ita;161;187;160
jam;107;164;128
jey;63;202;63
jor;153;186;168
jpn;199;130;26
kaz;211;147;128
ken;169;159;74
kgz;202;140;137
khm;74;103;135
kir;224;145;97
kna;147;18;150
kor;176;148;191
kurd;187;155;153
kwt;15;56;33
lao;190;167;58
lbn;101;154;210
lbr;62;127;142
lby;164;152;46
lca;242;223;145
lie;0;0;128
lka;220;169;46
lso;81;138;136
ltu;220;169;46
lux;146;163;144
lva;170;104;41
mac;0;120;94
maf;119;149;239
mar;114;159;130
mco;255;192;203
mda;109;51;13
mdg;140;136;203
mdv;255;234;233
mex;43;98;200
mhl;92;56;39
mkd;96;42;175
mli;116;218;55
mlt;212;207;212
mmr;139;152;184
mne;162;178;161
mng;200;152;138
mnp;160;139;124
moz;219;190;121
mrt;107;164;128
msr;95;157;75
mtq;81;98;176
mus;191;187;164
mwi;179;211;48
mys;217;128;110
myt;109;131;103
nam;208;160;131
ncl;228;106;55
ner;99;120;40
nfk;68;111;76
nga;189;144;195
nic;50;101;28
niu;214;230;46
nld;146;163;144
nor;102;139;168
npl;213;179;127
nru;29;120;77
nzl;155;112;38
omn;155;112;38
pak;164;128;107
pan;175;167;175
pcn;108;103;130
per;126;126;73
phl;105;115;51
ple;191;164;148
plw;44;168;209
png;168;184;42
pol;169;159;74
pri;117;117;77
prk;216;130;123
prt;63;137;98
pry;67;126;61
pse;242;49;167
pyf;150;155;225
qat;255;145;145
reu;74;156;137
rho;221;137;118
rks;115;71;28
rou;160;135;54
rsl;184;145;97
rso;149;193;171
rus;235;226;208
rwa;147;163;192
sar;120;122;87
sau;115;50;76
sco;134;181;205
sdn;163;226;112
sen;214;212;97
sgp;169;159;74
sgs;175;165;202
shn;192;189;115
sjm;172;212;251
slb;166;152;0
sle;129;116;92
slv;96;167;161
smr;217;135;54
som;88;126;67
spm;45;80;152
srb;107;162;193
ssd;250;223;173
stp;215;206;102
sun;122;104;42
sur;198;135;79
svk;108;128;98
svn;93;121;142
swe;55;78;95
swz;54;69;79
sxm;242;153;121
syc;86;71;65
syr;101;154;210
tca;255;180;150
tcd;160;135;54
tgo;212;214;16
tha;160;135;54
tjk;66;178;171
tkl;158;114;252
tkm;164;96;199
tls;1;68;33
ton;219;60;37
transnistria;211;67;67
tto;184;38;38
tun;144;109;91
tur;189;158;94
tuv;191;205;140
twn;100;103;48
tza;50;101;28
uga;117;105;42
ukr;138;149;124
umi;84;172;82
uno;75;146;219
ury;68;104;209
usa;105;115;51
uzb;123;198;97
vat;255;255;164
vct;89;56;112
ven;91;98;177
vgb;219;225;118
vir;68;162;139
vnm;122;104;42
vut;207;18;169
wal;63;137;98
wlf;158;95;129
wsm;87;153;133
xct;112;157;24
xom;207;20;43
xpo;203;161;53
xxa;245;228;156
xxb;245;228;156
xxc;245;228;156
xxx;188;249;179
xz;181;223;248
yem;151;129;82
yug;99;109;132
zaf;155;112;38
zmb;203;97;187
zwe;224;164;80
